1;3.768119;
6;3.763500;
11;3.794884;
16;3.788089;
21;3.780202;
26;3.777186;
31;3.790900;
36;3.792191;
41;3.795320;
46;3.777003;
51;3.769580;
56;3.775449;
61;3.780851;
66;3.764712;
71;3.792542;
76;3.792639;
81;3.779646;
86;3.777253;
91;3.783041;
96;3.773201;
101;3.791306;
106;3.795011;
111;3.792918;
116;3.777063;
121;3.768109;
126;3.773618;
131;3.767235;
136;3.770721;
141;3.782348;
146;3.778997;
151;3.785354;
156;3.784538;
161;3.786943;
166;3.795144;
171;3.778084;
176;3.791194;
181;3.758463;
186;3.767967;
191;3.778186;
196;3.778344;
201;3.781571;
206;3.786534;
211;3.799810;
216;3.773703;
221;3.785607;
226;3.785906;
231;3.785268;
236;3.695823;
241;3.812368;
246;3.773602;
251;3.775591;
256;3.781287;
261;3.776467;
266;3.798277;
271;3.795104;
276;3.792917;
281;3.784527;
286;3.789882;
291;3.798005;
296;3.777005;
301;3.760589;
306;3.762570;
311;3.781657;
316;3.801776;
321;3.781184;
326;3.793351;
331;3.794831;
336;3.787929;
341;3.813706;
346;3.800761;
351;3.794772;
356;3.777087;
361;3.779809;
366;3.786331;
371;3.788971;
376;3.788675;
381;3.787702;
386;3.786568;
391;3.796353;
396;3.790484;
401;3.794357;
406;3.796154;
411;3.793838;
416;3.851653;
421;3.832161;
426;3.788448;
431;3.777404;
436;3.777131;
441;3.799236;
446;3.791590;
451;3.805671;
456;3.795366;
461;3.792054;
466;3.800086;
471;3.783925;
476;3.762889;
481;3.774983;
486;3.782522;
490;3.775508;
491;3.783838;
492;3.787686;
493;3.784016;
494;3.784539;
495;3.789449;
496;3.754343;
497;3.772376;
498;3.786901;
499;3.788329;
500;3.781102;
501;3.849289;
502;3.888781;
503;3.876003;
504;3.886254;
505;3.901285;
506;3.903256;
507;3.901471;
508;3.881776;
509;3.895679;
510;3.893453;
511;3.890814;
512;3.717677;
513;3.907424;
514;3.894970;
515;3.914975;
516;3.930521;
517;3.913260;
518;3.924536;
519;3.912073;
520;3.919899;
521;3.894036;
522;3.917105;
523;3.903492;
524;4.076480;
525;3.933810;
526;3.936745;
527;3.939931;
528;3.939091;
529;3.927992;
530;3.936561;
531;3.930208;
532;3.929659;
533;3.932137;
534;3.946499;
535;3.948848;
536;3.929325;
537;3.951644;
538;3.948239;
539;3.983734;
540;3.944780;
541;3.942961;
542;3.954506;
543;3.927901;
544;3.946721;
545;3.940734;
546;3.949762;
547;3.965191;
548;3.962655;
549;3.960763;
